@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.000430371 , y: 0.000380837 , theta: -0.00239208
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第6个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第7个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第8个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第9个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第1个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第2个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第3个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第4个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第5个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第6个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第7个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第8个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第9个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第1个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第2个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第3个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第4个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第5个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第6个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第7个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第8个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
--- 第9个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第1个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第2个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第3个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第4个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第5个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第6个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第7个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
--- 第8个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
--- 第9个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第1个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第2个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第3个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第4个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第5个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第6个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
--- 第7个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
--- 第8个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
--- 第9个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第1个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第2个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第3个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第4个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第5个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
--- 第6个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
--- 第7个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
--- 第8个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
--- 第9个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第1个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第2个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第3个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第4个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
--- 第5个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
--- 第6个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
--- 第7个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
--- 第8个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
--- 第9个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第1个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第2个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第3个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
--- 第4个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
--- 第5个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
--- 第6个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
--- 第7个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
--- 第8个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
--- 第9个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第1个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第2个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
--- 第3个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
--- 第4个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
--- 第5个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
--- 第6个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
--- 第7个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
--- 第8个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
--- 第9个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第1个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
--- 第2个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
--- 第3个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
--- 第4个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
--- 第5个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
--- 第6个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
--- 第7个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
--- 第8个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
--- 第9个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
--- 第1个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
--- 第2个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
--- 第3个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
--- 第4个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
--- 第5个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
--- 第6个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
--- 第7个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
--- 第8个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
--- 第9个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.103989 , y: 0.0920195 , theta: -0.577986
--- 第1个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
--- 第2个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
--- 第3个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
--- 第4个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
--- 第5个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
--- 第6个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
--- 第7个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
--- 第8个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
--- 第9个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.113865 , y: 0.100759 , theta: -0.632883
--- 第1个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
--- 第2个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
--- 第3个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
--- 第4个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
--- 第5个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
--- 第6个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
--- 第7个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
--- 第8个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
--- 第9个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.122882 , y: 0.108735 , theta: -0.682996
--- 第1个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
--- 第2个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
--- 第3个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
--- 第4个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
--- 第5个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
--- 第6个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
--- 第7个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
--- 第8个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
--- 第9个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.131042 , y: 0.115939 , theta: -0.728322
--- 第1个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
--- 第2个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
--- 第3个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
--- 第4个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
--- 第5个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
--- 第6个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
--- 第7个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
--- 第8个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
--- 第9个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.138356 , y: 0.122345 , theta: -0.768867
--- 第1个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
--- 第2个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
--- 第3个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
--- 第4个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
--- 第5个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
--- 第6个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
--- 第7个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
--- 第8个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
--- 第9个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.144872 , y: 0.127826 , theta: -0.80463
--- 第1个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
--- 第2个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
--- 第3个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
--- 第4个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
--- 第5个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
--- 第6个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
--- 第7个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
--- 第8个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第9个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.150658 , y: 0.132212 , theta: -0.835608
--- 第1个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
--- 第2个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
--- 第3个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
--- 第4个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
--- 第5个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
--- 第6个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
--- 第7个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第8个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第9个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.155818 , y: 0.135232 , theta: -0.861802
--- 第1个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
--- 第2个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
--- 第3个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
--- 第4个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
--- 第5个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
--- 第6个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第7个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第8个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第9个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.160421 , y: 0.136789 , theta: -0.883341
--- 第1个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
--- 第2个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
--- 第3个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
--- 第4个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
--- 第5个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第6个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第7个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第8个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第9个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.164622 , y: 0.136744 , theta: -0.900645
--- 第1个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
--- 第2个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
--- 第3个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
--- 第4个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第5个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第6个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第7个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第8个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第9个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.167986 , y: 0.135876 , theta: -0.913164
--- 第1个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
--- 第2个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
--- 第3个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第4个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第5个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第6个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第7个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第8个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第9个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.170099 , y: 0.135251 , theta: -0.920898
--- 第1个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
--- 第2个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第3个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第4个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第5个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第6个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第7个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第8个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第9个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.170905 , y: 0.135013 , theta: -0.923848
--- 第1个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第2个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第3个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第4个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第5个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第6个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第7个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第8个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
--- 第9个点: x: 0.170914 , y: 0.13501 , theta: -0.92388
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.000430371 , y: 0.000380837 , theta: -0.00239208
--- 第1个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第2个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第3个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第4个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第5个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第6个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第7个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第8个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第9个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00172149 , y: 0.00152335 , theta: -0.00956833
--- 第1个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第2个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第3个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第4个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第5个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第6个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第7个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第8个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第9个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00387334 , y: 0.00342753 , theta: -0.0215287
--- 第1个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第2个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第3个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第4个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第5个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第6个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第7个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第8个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第9个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.00688588 , y: 0.00609334 , theta: -0.038273
--- 第1个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第2个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第3个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第4个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第5个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第6个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第7个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第8个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第9个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0107591 , y: 0.00952077 , theta: -0.0598011
--- 第1个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第2个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第3个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第4个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第5个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第6个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第7个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第8个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第9个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.015493 , y: 0.0137097 , theta: -0.0861127
--- 第1个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第2个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第3个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第4个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第5个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第6个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第7个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第8个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第9个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 150000 , _w_disty: 15000 , _w_etheta: 10000 , _w_acc: 200 , _w_angacc: 200 , 
--- 第0个点: x: 0.0210874 , y: 0.0186603 , theta: -0.117208
--- 第1个点: x: 0.0275425 , y: 0.0243724 , theta: -0.153086
--- 第2个点: x: 0.034858 , y: 0.030846 , theta: -0.193748
--- 第3个点: x: 0.0430344 , y: 0.0380812 , theta: -0.239193
--- 第4个点: x: 0.0520712 , y: 0.046078 , theta: -0.289421
--- 第5个点: x: 0.0619687 , y: 0.0548364 , theta: -0.344434
--- 第6个点: x: 0.072464 , y: 0.0641236 , theta: -0.402768
--- 第7个点: x: 0.0829805 , y: 0.0734297 , theta: -0.461221
--- 第8个点: x: 0.0934972 , y: 0.082736 , theta: -0.519675
